Angle (rad),Angular Velocity (rad/s)
3.012070251524351150e+00,1.193450306915380343e+00
3.018672763187467023e+00,-5.255828684208354584e-01
3.011909644022559007e+00,-1.479008975445230689e-01
3.002191981323992565e+00,-8.274423283814189567e-01
2.978515465863106115e+00,-1.553056540000688379e+00
2.969510481515004408e+00,6.753502801991686511e-01
2.984567044773990485e+00,8.255849241051030907e-01
3.021192839289803089e+00,2.775139998743934022e+00
3.093216183475952175e+00,4.388933680750026767e+00
3.189852876412984983e+00,5.321254952707061392e+00
3.310400368675343152e+00,6.966705741508877558e+00
3.476619086439351136e+00,1.344061217649485585e+01
3.633630801479921235e+00,3.697935984699914691e+00
3.693027047496210802e+00,2.431447348175508338e+00
3.734682381390848960e+00,1.788550028702041272e+00
3.768367995798098669e+00,1.593488290294561294e+00
3.798840961702945052e+00,1.462040723699884914e+00
3.827118280000355366e+00,1.371211389474994435e+00
3.859264937980172228e+00,1.826661916341867586e+00
3.897558631426676801e+00,1.996982114662602337e+00
3.939511704617093546e+00,2.191420512526298658e+00
3.982538775941898201e+00,2.116412460454494049e+00
4.022649573677838042e+00,1.904449979957022476e+00
4.059045977900849422e+00,1.742156604527400621e+00
4.093915696634796930e+00,1.746399222003457430e+00
4.131055717797273985e+00,1.962907223314384719e+00
4.171460444427153469e+00,2.075965222064148463e+00
4.214270889064160919e+00,2.203091340619024230e+00
4.258289361491716996e+00,2.201088445239195224e+00
4.302046341738797075e+00,2.177754446817561362e+00
4.347365324690331434e+00,2.351076492206185087e+00
4.394665419383454896e+00,2.380938023166889739e+00
4.443231333838258301e+00,2.475584749019016151e+00
4.493422174834418747e+00,2.544802463459253428e+00
4.545429125539111936e+00,2.655615348056867386e+00
4.599795253979215737e+00,2.780056068597596131e+00
4.656284232974379655e+00,2.871572281541655780e+00
4.714860934442792306e+00,2.986906138870741412e+00
4.775847330784829481e+00,3.115065453421338670e+00
4.839524785581562405e+00,3.255643801355195599e+00
4.906105081618396646e+00,3.405387976623568402e+00
4.976499653789502098e+00,3.642330413136227296e+00
5.052077065199434003e+00,3.926093629560305054e+00
5.132897212737085546e+00,4.164053069215482239e+00
5.219230667640453625e+00,4.482862854638372418e+00
5.313421712538773711e+00,4.962629487310074694e+00
5.420264650111938920e+00,5.783362130044930716e+00
5.547012093550004685e+00,7.024237220093098699e+00
5.714517216783540299e+00,1.044625711653959854e+01
6.074566499957660959e+00,1.529313736982726724e+01
6.320345139964240744e+00,1.118843514740071221e+01
6.588829725300498374e+00,2.000000000000000000e+01
6.945406074426706766e+00,1.014813078279480507e+01
7.119619845742329645e+00,7.691893110557737501e+00
7.261811166040740950e+00,6.631674740230415921e+00
7.385940240257488298e+00,5.841850035165753852e+00
7.498770078638018255e+00,5.462631526131485060e+00
7.603967075209618010e+00,5.079505220305376767e+00
7.702993019566634736e+00,4.836001413232237311e+00
7.797934550593147662e+00,4.666824963028759043e+00
7.889908589872548283e+00,4.541722165057566762e+00
7.979916034275369441e+00,4.466711712340596385e+00
8.068499029502296693e+00,4.395021561010438838e+00
8.156642872430259317e+00,4.428682349954130792e+00
8.245668587742578381e+00,4.482462314826680227e+00
8.334916651673875521e+00,4.443535980676020181e+00
8.424385498302093822e+00,4.510361131156996883e+00
8.518838444880893590e+00,4.971414837647544438e+00
8.619937078375075501e+00,5.153309451067597635e+00
8.726444030595816415e+00,5.535135871170333566e+00
8.849530438928242759e+00,7.020717307456376233e+00
9.037274055931066030e+00,1.952447479620575876e+01
9.277716331012703321e+00,7.308882304255908124e+00
9.411130512818468574e+00,6.245973631463610509e+00
9.520532582934787769e+00,4.731866311471206288e+00
9.599389531349137528e+00,3.072779719449553859e+00
9.689380727546938132e+00,6.542523800072514994e+00
9.882825862552687468e+00,6.796786871313790002e+00
9.983739134173093888e+00,4.038320988985466542e+00
1.005869355218616334e+01,3.520959089166863620e+00
1.012875985030276915e+01,3.487946164442315311e+00
1.019502924185286119e+01,3.164764572056165903e+00
1.025611792696356694e+01,2.958591809848626575e+00
1.031298356593541676e+01,2.741376190378587374e+00
1.036834138157545482e+01,2.793956996750213140e+00
1.042621950034714473e+01,2.987100968949549795e+00
1.048610597958843726e+01,3.003311256266910423e+00
1.054538564014212021e+01,2.930604919513448703e+00
1.060371490141694650e+01,2.906423969755280279e+00
1.066321248927850895e+01,3.040991122825232651e+00
1.072390720036255018e+01,3.033106151478907275e+00
1.078480204890823124e+01,3.060175789493002618e+00
1.084672705438585538e+01,3.134446312514363342e+00
1.091009612673213525e+01,3.206373141997396647e+00
