TotalReward,Steps
-2.034511263508839818e+02,8.000000000000000000e+00
-2.282778617555958931e+02,8.000000000000000000e+00
-3.904501132087939936e+02,2.800000000000000000e+01
-2.385172716147390304e+02,1.000000000000000000e+01
-5.543551339014186397e+02,9.000000000000000000e+00
-3.058477539353243060e+02,4.200000000000000000e+01
-6.745280770307432476e+02,2.000000000000000000e+01
-4.537233309807185151e+02,7.000000000000000000e+00
-2.608806362106985262e+02,1.100000000000000000e+01
-5.923649997445706958e+02,2.700000000000000000e+01
-5.865623809186299695e+02,1.600000000000000000e+01
-2.773080805363236436e+02,9.000000000000000000e+00
-6.020184932533225037e+02,3.400000000000000000e+01
-2.679301346806769288e+02,8.000000000000000000e+00
-4.395290932820619219e+02,1.200000000000000000e+01
-2.526833700170130044e+02,8.000000000000000000e+00
-6.020309379625919064e+02,2.100000000000000000e+01
-1.843395920600790987e+02,1.100000000000000000e+01
-2.365076790902486721e+02,1.100000000000000000e+01
-2.238155499820576892e+02,1.300000000000000000e+01
-1.674765296972374813e+02,1.300000000000000000e+01
-2.070184234926852014e+02,1.700000000000000000e+01
-1.438270669692012689e+02,2.100000000000000000e+01
-7.297228560725862962e+02,2.800000000000000000e+01
-2.227191785410570901e+02,6.000000000000000000e+00
-7.142877299040276284e+02,5.700000000000000000e+01
-2.218654629885469944e+02,2.400000000000000000e+01
-2.630306146188589764e+02,1.300000000000000000e+01
-1.795938892377642730e+02,1.900000000000000000e+01
-2.373325924258856503e+02,1.800000000000000000e+01
-1.639418960650067447e+02,2.000000000000000000e+01
-2.056341429483352670e+02,7.000000000000000000e+00
-7.774282325561143807e+02,4.400000000000000000e+01
-1.860707739384382648e+02,7.000000000000000000e+00
-2.110068114404076880e+02,2.900000000000000000e+01
-3.045830338936318640e+02,2.600000000000000000e+01
-1.782458754497010602e+02,2.900000000000000000e+01
-1.789218480950512742e+02,2.300000000000000000e+01
-1.549693074503041998e+02,1.400000000000000000e+01
-1.748684925712936717e+02,9.000000000000000000e+00
-3.147285474412208259e+02,7.000000000000000000e+00
-1.943627555084487994e+02,1.600000000000000000e+01
-2.164267762162385225e+02,1.000000000000000000e+01
-2.627202078722506258e+02,1.300000000000000000e+01
-3.280331260607133004e+02,2.100000000000000000e+01
-2.436130835258500156e+02,1.300000000000000000e+01
-2.604664490980993605e+02,1.600000000000000000e+01
-2.573404963478672016e+02,2.200000000000000000e+01
-3.590550061644607354e+02,1.500000000000000000e+01
-3.842642196043132117e+02,1.100000000000000000e+01
-1.916445800195841116e+02,1.500000000000000000e+01
-3.186212551699595110e+02,4.100000000000000000e+01
-1.757368208899584374e+02,2.300000000000000000e+01
-2.146085416782586606e+02,6.000000000000000000e+00
-1.540949845375062637e+02,1.500000000000000000e+01
-1.838738587646787153e+02,1.000000000000000000e+01
-1.750932342237201453e+02,9.000000000000000000e+00
-5.316304487666836849e+02,8.600000000000000000e+01
-3.126103282917894717e+02,1.800000000000000000e+01
-1.983456558980662408e+02,3.200000000000000000e+01
-2.283186866863643445e+02,1.900000000000000000e+01
-2.240945442986638056e+02,3.700000000000000000e+01
-1.621884705267318338e+02,3.000000000000000000e+01
-2.270323102204001202e+02,1.000000000000000000e+01
-3.163335270402216111e+02,3.000000000000000000e+01
-2.416377844522879741e+02,2.400000000000000000e+01
-4.247308763352217511e+02,2.500000000000000000e+01
-2.044078152734190894e+02,1.100000000000000000e+01
-5.961604221175650764e+02,1.300000000000000000e+01
-2.851621130146536416e+02,2.000000000000000000e+01
-1.879782526211393474e+02,1.400000000000000000e+01
-3.630425709125959202e+02,6.700000000000000000e+01
-2.874991448440471231e+02,8.000000000000000000e+00
-2.366655105655557918e+02,1.300000000000000000e+01
-4.903691608992383522e+02,1.400000000000000000e+01
-1.838001989584744251e+02,1.600000000000000000e+01
-3.828829392366904472e+02,4.000000000000000000e+01
-2.364035490978677672e+02,4.600000000000000000e+01
-3.158259693343761683e+02,1.400000000000000000e+01
-2.045523479858724158e+02,1.700000000000000000e+01
-2.454810786076205034e+02,2.100000000000000000e+01
-2.395075769638690133e+02,2.000000000000000000e+01
-2.087435397096148790e+02,1.500000000000000000e+01
-2.952316460768041111e+02,3.100000000000000000e+01
-1.970174342118535549e+02,1.800000000000000000e+01
-1.901949811840140683e+02,1.600000000000000000e+01
-2.143602541572279279e+02,2.500000000000000000e+01
-2.206890375853743080e+02,6.000000000000000000e+00
-1.546269067605118153e+02,2.100000000000000000e+01
-8.027080970538389693e+02,4.700000000000000000e+01
-1.850832188012093980e+02,1.400000000000000000e+01
-5.366371164611470022e+02,4.200000000000000000e+01
-2.103305789499649450e+02,3.600000000000000000e+01
-2.187020729488256165e+02,2.100000000000000000e+01
-2.177133055926276768e+02,2.900000000000000000e+01
-1.939661760578299265e+02,2.300000000000000000e+01
-1.885791820899975733e+02,1.400000000000000000e+01
-1.798258454927053549e+02,2.200000000000000000e+01
-5.050801356038538756e+02,4.000000000000000000e+01
-2.580032455101820688e+02,4.400000000000000000e+01
-5.813645387061440033e+02,8.500000000000000000e+01
-3.777323870128179806e+02,5.000000000000000000e+01
-3.193984681081080907e+02,2.500000000000000000e+01
-5.473138066937353869e+02,4.500000000000000000e+01
-4.589083135806987457e+02,7.900000000000000000e+01
-2.556270484714104043e+02,7.300000000000000000e+01
-1.696320108422752355e+02,1.500000000000000000e+01
-1.952682733673917426e+02,3.100000000000000000e+01
-2.759646315783217005e+02,1.300000000000000000e+01
-1.936429796881764105e+02,1.500000000000000000e+01
-2.174068184159471002e+02,2.200000000000000000e+01
-1.700633369094512659e+02,5.200000000000000000e+01
-2.808819401969725504e+02,7.200000000000000000e+01
-7.140733826479138315e+02,1.430000000000000000e+02
-1.661740452999091531e+02,3.800000000000000000e+01
-3.255858826814294957e+02,5.800000000000000000e+01
-1.553841134134017921e+02,2.700000000000000000e+01
-1.622642025535937194e+02,6.200000000000000000e+01
-2.183158266452558109e+02,6.600000000000000000e+01
-4.001140437935019918e+02,4.200000000000000000e+01
-6.093736879296892539e+02,4.500000000000000000e+01
-1.847241486854324535e+02,2.600000000000000000e+01
-2.797926799070467609e+02,2.900000000000000000e+01
-2.274508941274990548e+02,4.600000000000000000e+01
-6.037613857463942395e+02,6.000000000000000000e+01
-2.159356535740211598e+02,2.000000000000000000e+01
-2.744972928523486644e+02,5.700000000000000000e+01
-2.749786515449795843e+02,7.000000000000000000e+00
-2.960982643940754997e+02,6.600000000000000000e+01
-2.017600486897515566e+02,1.900000000000000000e+01
-7.561799530500774154e+02,5.400000000000000000e+01
-3.841577960593406260e+02,9.000000000000000000e+00
-5.247881890474973261e+02,4.800000000000000000e+01
-1.728490621683685049e+02,7.700000000000000000e+01
-2.548036226655711971e+02,2.200000000000000000e+01
-2.602850379923560240e+02,4.300000000000000000e+01
-2.009281334735895825e+02,5.000000000000000000e+01
-4.453138604153426172e+02,9.200000000000000000e+01
-3.096100988866791681e+02,8.300000000000000000e+01
-1.486111450880353573e+02,5.400000000000000000e+01
-3.809014338285137455e+02,1.700000000000000000e+01
-2.988416754280751206e+02,8.200000000000000000e+01
-3.806133378173818755e+02,2.700000000000000000e+01
-3.049429175874524844e+02,2.500000000000000000e+01
-1.622823880245094585e+02,2.200000000000000000e+01
-3.470228793512437733e+02,5.200000000000000000e+01
-6.195490919065854314e+02,5.300000000000000000e+01
-1.464636762944660120e+02,5.600000000000000000e+01
-1.768325388840619894e+02,6.900000000000000000e+01
-1.885288809423861380e+02,5.000000000000000000e+01
-2.086034168891249863e+02,4.600000000000000000e+01
-1.947166120611993847e+02,4.000000000000000000e+01
-1.930296020785017959e+02,1.400000000000000000e+01
-1.793388950599163536e+02,2.000000000000000000e+01
-1.626174857218002501e+02,4.100000000000000000e+01
-4.830997765366071235e+02,6.000000000000000000e+01
-4.174624702895896462e+02,3.400000000000000000e+01
-2.810012209031613111e+02,4.500000000000000000e+01
-2.109117356539646266e+02,2.200000000000000000e+01
-6.232380692277661183e+02,6.200000000000000000e+01
-4.623519639806561941e+02,4.100000000000000000e+01
-3.552653511940893054e+02,4.800000000000000000e+01
-2.090619919878470796e+02,4.000000000000000000e+01
-1.585904594520773685e+02,1.900000000000000000e+01
-1.789141405217318379e+02,3.600000000000000000e+01
-2.298904221036552542e+02,3.500000000000000000e+01
-1.880616406669809635e+02,2.300000000000000000e+01
-3.458222089376369013e+02,1.030000000000000000e+02
-2.398259492723784660e+02,9.500000000000000000e+01
-3.285451248814362657e+02,4.100000000000000000e+01
-4.168576013718675881e+02,6.300000000000000000e+01
-1.731868948039439715e+02,3.700000000000000000e+01
-3.086909558152286195e+02,9.400000000000000000e+01
-1.622410933503511785e+02,5.800000000000000000e+01
-5.613331212830833010e+02,8.500000000000000000e+01
-1.863066866784630236e+02,1.160000000000000000e+02
-7.960809728843198627e+02,1.170000000000000000e+02
-7.697527639673789963e+02,6.100000000000000000e+01
-3.894550081367200391e+02,7.000000000000000000e+01
-5.421936953789663676e+02,5.200000000000000000e+01
-2.656542406132666088e+02,6.700000000000000000e+01
-1.661646339976466891e+02,1.010000000000000000e+02
-3.607344028034530652e+02,8.300000000000000000e+01
-1.711419926852623803e+02,5.500000000000000000e+01
-7.864422730352295048e+02,2.800000000000000000e+01
-1.954394573148815937e+02,3.100000000000000000e+01
-1.616504906388451559e+02,1.900000000000000000e+01
-3.137803892634961471e+02,6.100000000000000000e+01
-5.776047671816733100e+02,2.900000000000000000e+01
-6.921089333890063244e+02,8.300000000000000000e+01
-1.858649014972530722e+02,5.400000000000000000e+01
-1.605297638786869356e+02,4.400000000000000000e+01
-8.960855748040776234e+02,9.100000000000000000e+01
-2.843527844372675304e+02,5.500000000000000000e+01
-2.001092363259812714e+02,4.100000000000000000e+01
-5.331669060638366773e+02,1.250000000000000000e+02
-4.518578102281446718e+02,9.900000000000000000e+01
-8.217049996297683947e+02,5.100000000000000000e+01
-3.062608915004702226e+02,5.500000000000000000e+01
-2.292119859698881896e+02,8.200000000000000000e+01
